Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
ASHOKLEY,EQ,01-Apr-2021,113.5,115.25,118.75,113.5,117.8,118.15,116.04,"21,938,734","2,545,880,072.15","81,294","5,472,139",24.94
ASHOKLEY,EQ,05-Apr-2021,118.15,117.4,117.6,110.8,113.5,113.35,113.35,"22,361,908","2,534,617,994.50","98,720","4,657,717",20.83
ASHOKLEY,EQ,06-Apr-2021,113.35,114.4,114.8,112.0,112.75,112.5,113.25,"15,611,581","1,767,973,233.40","56,252","3,341,601",21.4
ASHOKLEY,EQ,07-Apr-2021,112.5,113.0,117.15,112.5,116.5,116.75,116.01,"21,921,323","2,543,020,934.35","72,187","5,426,318",24.75
ASHOKLEY,EQ,08-Apr-2021,116.75,117.95,124.8,117.25,123.2,122.75,122.54,"54,015,926","6,619,027,860.75","199,163","11,501,362",21.29
ASHOKLEY,EQ,09-Apr-2021,122.75,124.25,125.6,120.35,121.2,121.2,122.81,"27,490,662","3,376,119,355.50","91,777","6,107,769",22.22
ASHOKLEY,EQ,12-Apr-2021,121.2,117.35,117.35,110.75,112.5,112.15,112.87,"36,108,789","4,075,545,119.80","124,393","10,495,794",29.07
ASHOKLEY,EQ,13-Apr-2021,112.15,113.05,115.8,111.5,115.0,115.3,113.98,"23,622,792","2,692,483,855.55","79,421","4,572,827",19.36
ASHOKLEY,EQ,15-Apr-2021,115.3,113.15,114.85,110.05,112.0,112.0,111.93,"22,512,842","2,519,896,356.95","76,601","5,224,977",23.21
ASHOKLEY,EQ,16-Apr-2021,112.0,112.5,115.85,112.0,113.25,113.65,114.18,"19,013,893","2,170,977,582.70","67,004","3,923,487",20.63
ASHOKLEY,EQ,19-Apr-2021,113.65,109.45,110.3,106.2,109.8,109.9,108.69,"36,453,257","3,961,955,218.50","132,652","12,653,394",34.71
ASHOKLEY,EQ,20-Apr-2021,109.9,111.05,114.3,110.75,112.3,112.85,112.83,"32,076,834","3,619,127,793.45","77,646","10,129,376",31.58
ASHOKLEY,EQ,22-Apr-2021,112.85,111.0,114.7,110.2,112.9,113.1,113.21,"22,613,991","2,560,145,317.35","73,291","6,816,887",30.14
ASHOKLEY,EQ,23-Apr-2021,113.1,112.0,112.9,110.2,111.55,111.3,111.72,"28,200,057","3,150,473,798.40","71,117","9,907,481",35.13
ASHOKLEY,EQ,26-Apr-2021,111.3,112.4,114.75,111.85,113.95,114.1,113.31,"18,137,936","2,055,268,290.00","54,535","5,032,756",27.75
ASHOKLEY,EQ,27-Apr-2021,114.1,114.7,117.4,113.5,115.65,115.6,116.17,"22,761,044","2,644,182,569.35","72,920","6,235,094",27.39
ASHOKLEY,EQ,28-Apr-2021,115.6,116.1,119.3,114.8,116.65,116.95,117.24,"22,462,353","2,633,535,196.80","62,021","5,736,825",25.54
ASHOKLEY,EQ,29-Apr-2021,116.95,118.05,119.4,114.7,115.05,115.1,116.22,"22,960,700","2,668,430,070.25","61,564","7,613,988",33.16
ASHOKLEY,EQ,30-Apr-2021,115.1,113.75,115.75,112.1,112.45,112.7,114.18,"17,970,808","2,051,853,164.45","55,091","4,304,526",23.95
ASHOKLEY,EQ,03-May-2021,112.7,109.7,112.45,108.3,111.95,111.85,111.24,"19,757,520","2,197,745,163.05","69,871","4,777,713",24.18
ASHOKLEY,EQ,04-May-2021,111.85,111.95,113.85,110.35,111.0,110.8,111.91,"14,960,575","1,674,234,800.60","50,393","2,674,151",17.87
ASHOKLEY,EQ,05-May-2021,110.8,111.9,112.6,109.8,112.4,112.15,111.16,"12,086,811","1,343,579,833.30","40,871","1,666,661",13.79
ASHOKLEY,EQ,06-May-2021,112.15,112.75,114.5,111.1,113.85,114.05,112.74,"14,036,598","1,582,445,360.30","48,439","4,212,301",30.01
ASHOKLEY,EQ,07-May-2021,114.05,113.25,115.05,113.1,114.15,114.25,114.02,"10,778,597","1,228,988,240.80","35,433","2,434,007",22.58
ASHOKLEY,EQ,10-May-2021,114.25,115.0,116.4,114.35,116.0,116.0,115.58,"10,958,758","1,266,655,480.85","40,519","2,647,839",24.16
ASHOKLEY,EQ,11-May-2021,116.0,114.95,116.9,114.15,115.5,115.75,115.62,"10,161,981","1,174,947,187.65","36,491","1,873,650",18.44
ASHOKLEY,EQ,12-May-2021,115.75,116.0,116.7,112.8,113.6,113.45,114.34,"11,035,956","1,261,801,676.45","54,480","2,687,431",24.35
ASHOKLEY,EQ,14-May-2021,113.45,114.0,114.5,111.4,112.05,112.1,112.27,"15,520,833","1,742,540,870.35","62,852","5,740,473",36.99
ASHOKLEY,EQ,17-May-2021,112.1,113.15,116.0,111.65,115.5,115.4,114.65,"16,864,773","1,933,507,170.95","55,355","6,416,933",38.05
ASHOKLEY,EQ,18-May-2021,115.4,117.0,123.45,116.5,123.1,122.95,121.01,"48,225,487","5,835,689,313.15","161,905","11,505,474",23.86
ASHOKLEY,EQ,19-May-2021,122.95,123.3,125.35,120.3,124.4,124.8,123.49,"35,836,557","4,425,401,893.25","132,264","8,585,201",23.96
ASHOKLEY,EQ,20-May-2021,124.8,124.3,127.0,123.5,126.0,125.85,125.88,"25,879,562","3,257,846,848.95","183,442","8,469,273",32.73
ASHOKLEY,EQ,21-May-2021,125.85,126.0,126.85,123.85,125.2,125.45,125.23,"15,500,993","1,941,151,861.65","57,073","3,673,373",23.7
ASHOKLEY,EQ,24-May-2021,125.45,125.5,126.45,124.45,124.85,125.0,125.37,"9,555,148","1,197,910,455.60","42,589","2,205,503",23.08
ASHOKLEY,EQ,25-May-2021,125.0,125.5,128.85,125.5,126.4,126.35,127.49,"24,931,511","3,178,555,676.40","92,659","7,438,234",29.83
ASHOKLEY,EQ,26-May-2021,126.35,126.45,127.75,125.2,125.6,125.5,126.22,"9,105,551","1,149,334,299.25","42,168","2,066,771",22.7
ASHOKLEY,EQ,27-May-2021,125.5,125.8,127.0,125.05,126.35,126.4,126.05,"10,198,196","1,285,453,440.10","38,283","3,657,923",35.87
ASHOKLEY,EQ,28-May-2021,126.4,126.35,127.6,123.55,124.85,124.6,125.13,"9,809,091","1,227,390,839.75","43,219","2,221,769",22.65
ASHOKLEY,EQ,31-May-2021,124.6,125.0,125.85,123.0,123.7,123.45,124.02,"7,781,980","965,155,458.15","38,373","2,147,031",27.59
ASHOKLEY,EQ,01-Jun-2021,123.45,123.9,124.45,121.1,121.6,121.65,122.37,"12,524,009","1,532,542,536.95","61,318","2,668,961",21.31
ASHOKLEY,EQ,02-Jun-2021,121.65,121.65,124.45,121.25,124.05,124.1,123.04,"7,679,490","944,921,540.95","35,509","1,962,382",25.55
ASHOKLEY,EQ,03-Jun-2021,124.1,124.15,126.0,121.6,124.25,124.35,124.38,"16,367,436","2,035,852,595.10","53,192","4,196,915",25.64
ASHOKLEY,EQ,04-Jun-2021,124.35,124.55,129.7,123.75,129.35,128.4,126.48,"17,082,101","2,160,528,189.80","65,588","6,687,256",39.15
ASHOKLEY,EQ,07-Jun-2021,128.4,129.6,131.65,128.0,128.3,128.4,129.55,"17,273,809","2,237,902,311.40","74,903","4,775,919",27.65
